,sentiment
2014-01-31,0.11888888888888889
2014-02-01,0.11653645833333333
2014-02-02,
2014-02-03,0.4
2014-02-04,0.029629629629629624
2014-02-05,0.056249999999999994
2014-02-06,0.06851851851851852
2014-02-07,0.06111111111111111
2014-02-08,-0.030762987012987016
2014-02-09,0.8
2014-02-10,0.03333333333333335
2014-02-11,0.06732533670033668
2014-02-12,0.034090909090909095
2014-02-13,0.027666666666666673
2014-02-14,-0.06895833333333333
2014-02-15,0.30333333333333334
2014-02-16,0.07743506493506493
2014-02-17,0.16199074074074077
2014-02-18,0.12339015151515151
2014-02-19,0.02746212121212121
2014-02-20,
2014-02-21,
2014-02-22,
2014-02-23,
2014-02-24,
2014-02-25,0.04875
2014-02-26,0.09427609427609426
2014-02-27,-0.005040509259259259
2014-02-28,0.05658670033670034
2014-03-01,0.15999999999999998
2014-03-02,0.16981363932291668
2014-03-03,0.20530303030303027
2014-03-04,0.0671875
2014-03-05,0.08958333333333335
2014-03-06,0.09381118881118883
2014-03-07,0.07671769781144781
2014-03-08,0.13445454545454544
2014-03-09,0.025
2014-03-10,0.013636363636363636
2014-03-11,0.016964285714285713
2014-03-12,0.0957070707070707
2014-03-13,0.11966099486932819
2014-03-14,0.08475378787878787
2014-03-15,0.018657159833630425
2014-03-16,0.0
2014-03-17,-0.031190476190476192
2014-03-18,0.06527777777777777
2014-03-19,0.08670892599464028
2014-03-20,0.04819559228650138
2014-03-21,0.0036111111111111057
2014-03-22,0.02548400673400673
2014-03-23,0.01027777777777778
2014-03-24,0.08
2014-03-25,0.05526041666666667
2014-03-26,0.058984375000000006
2014-03-27,-0.06063888888888889
2014-03-28,0.1910300925925926
2014-03-29,0.17383241758241758
2014-03-30,0.1224537037037037
2014-03-31,0.10709876543209876
2014-04-01,-0.05795454545454545
2014-04-02,-0.0034722222222222255
2014-04-03,0.03374368686868687
2014-04-04,0.01574074074074074
2014-04-05,0.0662121212121212
2014-04-06,0.13830266955266957
2014-04-07,0.04068622735289402
2014-04-08,-0.10253798670465336
2014-04-09,0.08796620046620046
2014-04-10,0.006593614718614718
2014-04-11,0.112236050986051
2014-04-12,0.15357142857142855
2014-04-13,0.16488095238095238
2014-04-14,0.05848214285714286
2014-04-15,-0.04814814814814816
2014-04-16,0.1075547138047138
2014-04-17,0.05
2014-04-18,0.031825396825396826
2014-04-19,0.0730754514845424
2014-04-20,-0.004761904761904761
2014-04-21,0.11666666666666665
2014-04-22,0.10034722222222223
2014-04-23,-0.011830972058244781
2014-04-24,-0.10305555555555554
2014-04-25,-0.10202380952380952
2014-04-26,0.036777210884353755
2014-04-27,
2014-04-28,-0.21726190476190477
2014-04-29,-0.06974826388888888
2014-04-30,0.07083333333333335
2014-05-01,0.05982142857142856
2014-05-02,-0.14285714285714285
2014-05-03,-0.014821428571428574
2014-05-04,0.1700396825396826
2014-05-05,0.04662698412698412
2014-05-06,-0.04266203703703703
2014-05-07,0.09
2014-05-08,-0.03682234432234432
2014-05-09,0.041666666666666664
2014-05-10,0.03384740259740259
2014-05-11,0.02515432098765432
2014-05-12,0.04
2014-05-13,0.05909090909090909
2014-05-14,-0.11678578944203943
2014-05-15,0.06007936507936508
2014-05-16,0.022478693181818183
2014-05-17,0.15859374999999998
2014-05-18,-0.13888888888888887
2014-05-19,0.16145833333333337
2014-05-20,0.057855555555555556
2014-05-21,0.06010416666666666
2014-05-22,-0.09739583333333333
2014-05-23,-0.002361111111111108
2014-05-24,0.027811147186147196
2014-05-25,0.021875000000000006
2014-05-26,0.010227272727272725
2014-05-27,-0.1896825396825397
2014-05-28,0.04261363636363636
2014-05-29,0.10297619047619047
2014-05-30,0.013999999999999999
2014-05-31,0.026860119047619042
2014-06-01,0.0375
2014-06-02,-0.03333333333333333
2014-06-03,-0.018497474747474745
2014-06-04,-0.07259615384615384
2014-06-05,0.1528409090909091
2014-06-06,0.018660714285714287
2014-06-07,0.05597718253968254
2014-06-08,0.11468253968253969
2014-06-09,-0.09297619047619046
2014-06-10,0.05208754208754209
2014-06-11,0.06257575757575758
2014-06-12,0.18685648148148146
2014-06-13,0.175
2014-06-14,0.10833333333333332
2014-06-15,-0.040476190476190464
2014-06-16,0.010317460317460319
2014-06-17,0.03125
2014-06-18,0.060932677469135804
2014-06-19,0.012533068783068792
2014-06-20,0.09606481481481483
2014-06-21,0.0
2014-06-22,0.1195436507936508
2014-06-23,-0.01875
2014-06-24,0.054124458874458894
2014-06-25,0.0818452380952381
2014-06-26,0.018749999999999996
2014-06-27,0.11649659863945579
2014-06-28,0.17083333333333334
2014-06-29,0.10037878787878787
2014-06-30,0.12943722943722943
2014-07-01,0.04666666666666666
2014-07-02,0.11875
2014-07-03,0.0546875
2014-07-04,0.020833333333333343
2014-07-05,0.07604166666666667
2014-07-06,0.2
2014-07-07,
2014-07-08,0.0374074074074074
2014-07-09,0.16666666666666666
