,year,month,state,sentiment,frequency
633,2016,4,CT,,0.0
634,2016,5,CT,,0.0
635,2016,6,CT,,0.0
636,2016,7,CT,,0.0
637,2016,8,CT,,0.0
638,2016,9,CT,,0.0
639,2016,10,CT,,0.0
640,2016,11,CT,,0.0
641,2016,12,CT,,0.0
642,2017,1,CT,,0.0
643,2017,2,CT,,0.0
644,2017,3,CT,,0.0
645,2017,4,CT,,0.0
646,2017,5,CT,,0.0
647,2017,6,CT,,0.0
648,2017,7,CT,0.09761904761904762,7.0
649,2017,8,CT,0.125,2.0
650,2017,9,CT,0.1515151515151515,2.0
651,2017,10,CT,0.0625,2.0
652,2017,11,CT,0.175,1.0
653,2017,12,CT,0.13749999999999998,8.0
654,2018,1,CT,0.13930735930735932,11.0
655,2018,2,CT,0.10555555555555556,2.0
656,2018,3,CT,0.09655647382920109,12.0
657,2018,4,CT,0.1776388888888889,6.0
658,2018,5,CT,0.13333333333333333,5.0
659,2018,6,CT,0.15833333333333333,3.0
660,2018,7,CT,0.014285714285714287,7.0
661,2018,8,CT,0.1836309523809524,2.0
662,2018,9,CT,0.13636363636363635,1.0
663,2018,10,CT,0.15625,1.0
664,2018,11,CT,,0.0
665,2018,12,CT,,0.0
666,2019,1,CT,,0.0
667,2019,2,CT,,0.0
668,2019,3,CT,,0.0
669,2019,4,CT,,0.0
670,2019,5,CT,,0.0
671,2019,6,CT,0.0,1.0
672,2019,7,CT,0.22533482142857142,4.0
673,2019,8,CT,,0.0
674,2019,9,CT,,0.0
675,2019,10,CT,,0.0
676,2019,11,CT,,0.0
677,2019,12,CT,,0.0
678,2020,1,CT,,0.0
679,2012,1,DE,,0.0
680,2012,2,DE,,0.0
681,2012,3,DE,,0.0
682,2012,4,DE,,0.0
683,2012,5,DE,,0.0
684,2012,6,DE,,0.0
685,2012,7,DE,,0.0
686,2012,8,DE,,0.0
687,2012,9,DE,,0.0
688,2012,10,DE,,0.0
689,2012,11,DE,,0.0
690,2012,12,DE,,0.0
691,2013,1,DE,,0.0
692,2013,2,DE,,0.0
693,2013,3,DE,,0.0
694,2013,4,DE,,0.0
695,2013,5,DE,,0.0
696,2013,6,DE,,0.0
697,2013,7,DE,,0.0
698,2013,8,DE,,0.0
699,2013,9,DE,,0.0
700,2013,10,DE,,0.0
701,2013,11,DE,,0.0
702,2013,12,DE,,0.0
